"No","Module","Title","RazorFile","Route","URL","Type","DesignStatus","Notes"
"114","HrSettings","إعدادات الموارد البشرية","HrSettings/Index.cshtml","/HrSettings","https://zynorahr.com/HrSettings","UI","Pending",""
"115","HrSettings","القوائم المرجعية","HrSettings/Lookups.cshtml","/HrSettings/Lookups","https://zynorahr.com/HrSettings/Lookups","UI","Pending",""
"116","HrSettings","فترة الإنذار","HrSettings/NoticePeriod.cshtml","/HrSettings/NoticePeriod","https://zynorahr.com/HrSettings/NoticePeriod","UI","Pending",""
"117","HrSettings","مركز الإشعارات","HrSettings/NotificationCenter.cshtml","/HrSettings/NotificationCenter","https://zynorahr.com/HrSettings/NotificationCenter","UI","Pending",""
"118","HrSettings","تهيئة الأشخاص","HrSettings/PeopleConfiguration.cshtml","/HrSettings/PeopleConfiguration","https://zynorahr.com/HrSettings/PeopleConfiguration","UI","Pending",""
"119","HrSettings","فترة التجربة","HrSettings/ProbationPeriod.cshtml","/HrSettings/ProbationPeriod","https://zynorahr.com/HrSettings/ProbationPeriod","UI","Pending",""
"120","HrSettings","مركز أنواع الطلبات","HrSettings/RequestTypes.cshtml","/HrSettings/RequestTypes","https://zynorahr.com/HrSettings/RequestTypes","UI","Pending",""
"121","HrSettings","إعدادات الخدمة الذاتية","HrSettings/SelfServiceSettings.cshtml","/HrSettings/SelfServiceSettings","https://zynorahr.com/HrSettings/SelfServiceSettings","UI","Pending",""
"122","HrSettings","أسباب الإيقاف","HrSettings/TerminationReasons.cshtml","/HrSettings/TerminationReasons","https://zynorahr.com/HrSettings/TerminationReasons","UI","Pending",""
"123","HrSettings","تهيئة المخالفات","HrSettings/ViolationConfiguration.cshtml","/HrSettings/ViolationConfiguration","https://zynorahr.com/HrSettings/ViolationConfiguration","UI","Pending",""
"124","Integrations","التكامل المحاسبي","Integrations/Accounting.cshtml","/Integrations/Accounting","https://zynorahr.com/Integrations/Accounting","UI","Pending",""
"125","Integrations","موصلات أجهزة الحضور","Integrations/DeviceConnectors.cshtml","/Integrations/DeviceConnectors","https://zynorahr.com/Integrations/DeviceConnectors","UI","Pending",""
"126","Integrations","Webhooks","Integrations/Webhooks.cshtml","/Integrations/Webhooks","https://zynorahr.com/Integrations/Webhooks","UI","Pending",""
"127","LeaveBalances","ضبط رصيد الإجازات","LeaveBalances/Adjust.cshtml","/LeaveBalances/Adjust","https://zynorahr.com/LeaveBalances/Adjust","UI","Pending",""
"128","LeaveBalances","أرصدة الإجازات","LeaveBalances/Index.cshtml","/LeaveBalances","https://zynorahr.com/LeaveBalances","UI","Pending",""
"129","LeaveRequests","إضافة إجازة معتمدة","LeaveRequests/Create.cshtml","/LeaveRequests/Create","https://zynorahr.com/LeaveRequests/Create","UI","Pending",""
"130","LeaveRequests","حذف طلب إجازة","LeaveRequests/Delete.cshtml","/LeaveRequests/Delete","https://zynorahr.com/LeaveRequests/Delete","UI","Pending",""
"131","LeaveRequests","تعديل طلب إجازة","LeaveRequests/Edit.cshtml","/LeaveRequests/Edit","https://zynorahr.com/LeaveRequests/Edit","UI","Pending",""
"132","LeaveRequests","LeaveRequests/Import.cshtml","LeaveRequests/Import.cshtml","/LeaveRequests/Import","https://zynorahr.com/LeaveRequests/Import","UI","Pending",""
"133","LeaveRequests","طلبات الإجازات","LeaveRequests/Index.cshtml","/LeaveRequests","https://zynorahr.com/LeaveRequests","UI","Pending",""
"134","MissingPunchRequests","طلبات البصمة المفقودة","MissingPunchRequests/Index.cshtml","/MissingPunchRequests","https://zynorahr.com/MissingPunchRequests","UI","Pending",""
"135","MonthAttendance","الحضور الشهري","MonthAttendance/Index.cshtml","/MonthAttendance","https://zynorahr.com/MonthAttendance","UI","Pending",""
"136","MyProfile","ملفي الشخصي","MyProfile/Index.cshtml","/MyProfile","https://zynorahr.com/MyProfile","UI","Pending",""
"137","Notifications","Notifications/Bell.cshtml","Notifications/Bell.cshtml","/Notifications/Bell","https://zynorahr.com/Notifications/Bell","Technical / API","Pending",""
